"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 12:08:25 GMT 2022","Thu Dec 01 12:08:28 GMT 2022","3501","","Inscrição","","","","Validar inscrição de candidato com dados válidos e marcando não para 'Você é matriculado em algum curso de graduação ou técnico?' retorna mensagem de erro",""
"failed","Thu Dec 01 12:09:15 GMT 2022","Thu Dec 01 12:09:20 GMT 2022","4864","","Dashboard","","","","validar buscar inscricao com nome inexistente",""
"passed","Thu Dec 01 12:09:27 GMT 2022","Thu Dec 01 12:09:28 GMT 2022","1239","","Login","","","","Validar Fazer login com dados inválidos retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Thu Dec 01 12:09:31 GMT 2022","Thu Dec 01 12:09:32 GMT 2022","720","","Login","","","","Validar Fazer login sem preencher campos retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Thu Dec 01 12:09:23 GMT 2022","Thu Dec 01 12:09:25 GMT 2022","2422","","Login","","","","Validar fazer login do usuario admin com sucesso",""
"passed","Thu Dec 01 12:08:16 GMT 2022","Thu Dec 01 12:08:25 GMT 2022","8217","","Inscrição","","","","Validar inscrição de candidato com sucesso",""
"failed","Thu Dec 01 12:08:44 GMT 2022","Thu Dec 01 12:08:49 GMT 2022","5130","","Inscrição","","","","Validar preencher campo RG com dado inválido retorna mensagem de erro 'O RG precisa ter no mínimo 8 caracteres'",""
"passed","Thu Dec 01 12:08:59 GMT 2022","Thu Dec 01 12:09:04 GMT 2022","4931","","Inscrição","","","","Validar botão 'próximo' desabilitado ao não preencher todos os campos obrigatórios do Step 2 com dados válidos",""
"failed","Thu Dec 01 12:08:39 GMT 2022","Thu Dec 01 12:08:44 GMT 2022","5011","","Inscrição","","","","Validar preencher campo Telefone com dado inválido retorna mensagem de erro 'O telefone precisa ser válido.'",""
"passed","Thu Dec 01 12:09:32 GMT 2022","Thu Dec 01 12:09:32 GMT 2022","358","","Login","","","","Validar clicar no botao inscrever-se redireciona a página",""
"passed","Thu Dec 01 12:09:28 GMT 2022","Thu Dec 01 12:09:29 GMT 2022","1105","","Login","","","","Validar fazer login com Email Invalido retorna mensagem de erro 'Email ou senha inválidos' ",""
"failed","Thu Dec 01 12:09:10 GMT 2022","Thu Dec 01 12:09:15 GMT 2022","4863","","Dashboard","","","","validar buscar inscricao com sucesso",""
"passed","Thu Dec 01 12:08:28 GMT 2022","Thu Dec 01 12:08:29 GMT 2022","1122","","Inscrição","","","","Validar preencher campo nome com dado inválido retorna mensagem de erro 'Nome inválido'",""
"passed","Thu Dec 01 12:09:29 GMT 2022","Thu Dec 01 12:09:31 GMT 2022","1904","","Login","","","","Validar Fazer login com senha incorreta retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Thu Dec 01 12:09:07 GMT 2022","Thu Dec 01 12:09:10 GMT 2022","3650","","Dashboard","","","","validar buscar administrador com sucesso",""
"failed","Thu Dec 01 12:08:49 GMT 2022","Thu Dec 01 12:08:55 GMT 2022","5351","","Inscrição","","","","Validar preencher campo Cidade com dado inválido retorna mensagem de erro 'É necessário no mínimo 3 letras'",""
"failed","Thu Dec 01 12:08:29 GMT 2022","Thu Dec 01 12:08:34 GMT 2022","5027","","Inscrição","","","","Validar preencher campo email com dado inválido retorna mensagem de erro 'Email inválido'",""
"failed","Thu Dec 01 12:08:34 GMT 2022","Thu Dec 01 12:08:39 GMT 2022","4682","","Inscrição","","","","Validar preencher campo CPF com dado inválido retorna mensagem de erro 'CPF inválido'",""
"passed","Thu Dec 01 12:09:25 GMT 2022","Thu Dec 01 12:09:27 GMT 2022","1665","","Login","","","","Validar fazer login do usuario colaborador com sucesso",""
"failed","Thu Dec 01 12:08:55 GMT 2022","Thu Dec 01 12:08:59 GMT 2022","4815","","Inscrição","","","","Validar não preencher campos do Step 1 com dados válidos retorna mensagens de erro",""
